way_id,seq,lat,lon,highway
22819610,6,41.3476957,69.216011,trunk
22871657,0,41.2441399,69.2016879,primary
22871657,1,41.2443757,69.2020368,primary
22871657,2,41.2445232,69.2022549,primary
22871657,3,41.2448986,69.2027735,primary
22871657,4,41.2452349,69.2032496,primary
22871657,5,41.2456593,69.2038339,primary
22871657,6,41.2461762,69.2045503,primary
22871657,7,41.2464366,69.204975,primary
22871657,8,41.2465502,69.205199,primary
22871657,9,41.2466463,69.2054297,primary
22871657,10,41.2467278,69.2056106,primary
22871657,11,41.2468741,69.2059771,primary
22871657,12,41.2470029,69.2063537,primary
22871657,13,41.2472219,69.2070358,primary
22871657,14,41.2473812,69.2074783,primary
22871657,15,41.2474781,69.2076956,primary
22871657,16,41.2475777,69.2079095,primary
22871657,17,41.2481287,69.2088467,primary
22871657,18,41.2486207,69.2096292,primary
22871657,19,41.2490707,69.210345,primary
22871657,20,41.2490859,69.2103693,primary
22871657,21,41.250195,69.212034,primary
22871657,22,41.2508661,69.21303,primary
22871657,23,41.2510436,69.2132745,primary
22871657,24,41.2516964,69.2141736,primary
22871657,25,41.2523806,69.2150996,primary
22871657,26,41.2525139,69.2152799,primary
22871657,27,41.2525728,69.2153701,primary
22871660,0,41.2503651,69.1830311,primary
22871660,1,41.2502188,69.1827951,primary
22871660,2,41.2498912,69.1822579,primary
22871660,3,41.2495801,69.1817491,primary
22871660,4,41.2489503,69.1806721,primary
22871660,5,41.2487367,69.1803423,primary
22871660,6,41.2480629,69.1792544,primary
22871660,7,41.2470573,69.1775929,primary
22871660,8,41.2466481,69.1769249,primary
22871660,9,41.246401,69.1765174,primary
22871660,10,41.2459088,69.1757177,primary
22871660,11,41.2456789,69.1753674,primary
22871660,12,41.2452196,69.1746876,primary
22871660,13,41.2450445,69.1744444,primary
22871660,14,41.2448632,69.1742067,primary
22871660,15,41.2445313,69.173782,primary
22871660,16,41.2441617,69.1733367,primary
22871660,17,41.2437804,69.1729087,primary
22871660,18,41.2432928,69.17241,primary
22871660,19,41.2421235,69.1712094,primary
22871669,0,41.2543956,69.1954431,primary
22871669,1,41.2543784,69.1955703,primary
22871669,2,41.2543623,69.1956988,primary
22871669,3,41.2543519,69.1958023,primary
22871669,4,41.2543433,69.1959076,primary
22871669,5,41.2543367,69.196029,primary
22871669,6,41.2543316,69.19615,primary
22871669,7,41.2543233,69.1963923,primary
22871671,0,41.2571072,69.1917051,primary
22871671,1,41.2552061,69.1937616,primary
22871672,0,41.2552509,69.1938366,primary
22871672,1,41.2571509,69.1917766,primary
22871682,0,41.2388848,69.1679608,trunk
22871682,1,41.2384487,69.1675328,trunk
22871684,0,41.2386862,69.1680374,trunk
22871684,1,41.2388385,69.1681859,trunk
