lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.27618,69.21792,138-sonli umumiy o'rta ta'lim maktabi,778,-3.66,34.3
41.28531,69.22226,162-sonli umumiy o'rta ta'lim maktabi,401,-3.52,34.7
41.27848,69.22266,163-sonli umumiy o'rta ta'lim maktabi,917,-3.55,34.4
41.27470,69.20030,164-sonli umumiy o'rta ta'lim maktabi,216,-3.19,35.9
41.28697,69.22492,168-sonli umumiy o'rta ta'lim maktabi,338,-3.18,35.2
41.29320,69.22060,173-sonli umumiy o'rta ta'lim maktabi,40,-2.74,39.0
41.28812,69.21303,178-sonli ixtisoslashtirilgan davlat umu,378,-3.66,34.6
41.29540,69.20783,179-sonli umumiy o'rta ta'lim maktabi,299,-2.62,36.0
41.28865,69.21332,182-sonli umumiy o'rta ta'lim maktabi,397,-3.61,34.6
41.29181,69.20400,183-sonli umumiy o'rta ta'lim maktabi,465,-2.99,35.1
41.28490,69.20160,184-sonli umumiy o'rta ta'lim maktabi,583,-3.42,34.6
41.26405,69.21191,188-sonli umumiy o'rta ta'lim maktabi,478,-2.59,35.5
41.27470,69.20030,195-sonli ixtisoslashtirilgan davlat umu,216,-3.19,35.9
41.28342,69.19629,181-sonli umumiy o'rta ta'lim maktabi,135,-3.07,36.9
41.26312,69.18327,200-sonli ixtisoslashtirilgan davlat umu,940,-1.71,36.2
41.25146,69.20218,201-sonli umumiy o'rta ta'lim maktabi,309,-1.34,37.2
41.26294,69.18343,202-sonli umumiy o'rta ta'lim maktabi,916,-1.71,36.2
41.26814,69.17485,217-sonli umumiy o'rta ta'lim maktabi,1837,-1.57,36.3
41.26167,69.21175,232-sonli umumiy o'rta ta'lim maktabi,310,-2.35,36.2
41.23821,69.17231,270-sonli umumiy o'rta ta'lim maktabi,319,-0.7,37.8
41.26133,69.15739,280-sonli umumiy o'rta ta'lim maktabi,537,-1.0,37.0
41.26632,69.16323,281-sonli umumiy o'rta ta'lim maktabi,1276,-1.17,36.7
41.25944,69.20327,357-sonli umumiy o'rta ta'lim maktabi,516,-2.03,36.0
41.28596,69.22888,"201,Tashkent,Chilonzor",214,-2.9,36.2
41.31621,69.19792,10-sonli umumiy o'rta ta'lim maktabi,323,0.33,38.8
41.30940,69.22079,13-sonli umumiy o'rta ta'lim maktabi,1035,-0.9,37.0
41.32703,69.25780,19-sonli umumiy o'rta ta'lim maktabi,240,1.45,40.4
41.33939,69.26367,20-sonli umumiy o'rta ta'lim maktabi,384,4.36,42.6
41.30874,69.23511,34-sonli umumiy o'rta ta'lim maktabi,268,-1.38,37.4
41.33527,69.19916,39-sonli umumiy o'rta ta'lim maktabi,255,2.58,41.4
41.32349,69.20692,40-sonli umumiy o'rta ta'lim maktabi,129,1.23,41.2
41.32663,69.22608,41-sonli umumiy o'rta ta'lim maktabi,145,1.59,41.4
41.32614,69.24365,42-sonli umumiy o'rta ta'lim maktabi,110,0.95,41.2
41.31347,69.23246,45-sonli umumiy o'rta ta'lim maktabi,235,-1.2,37.7
41.32283,69.24758,59-sonli xitoy va koreys tillarini chuqu,117,0.04,40.2
41.32009,69.22903,82-sonli umumiy o'rta ta'lim maktabi,157,-0.23,39.4
41.30841,69.23611,84-sonli umumiy o'rta ta'lim maktabi,177,-1.4,38.0
41.31318,69.22776,85-sonli umumiy o'rta ta'lim maktabi,499,-0.96,37.1
41.33358,69.20504,92-sonli umumiy o'rta ta'lim maktabi,224,2.8,41.8
41.32967,69.22068,102-sonli ixtisoslashtirilgan davlat umu,148,2.62,42.4
41.33055,69.20296,113-sonli umumiy o'rta ta'lim maktabi,294,2.24,40.8
41.32633,69.26081,115-sonli umumiy o'rta ta'lim maktabi,190,1.33,40.6
41.33133,69.21413,132 - sonli umumiy o'rta ta'lim maktabi,174,2.89,42.4
41.31256,69.19818,136 - sonli umumiy o'rta ta'lim maktabi,384,-0.12,38.2
41.31565,69.20885,141 - sonli umumiy o'rta ta'lim maktabi,97,0.07,40.6
41.30549,69.21184,157 - sonli umumiy o'rta ta'lim maktabi,306,-1.19,37.4
41.31646,69.20692,167 - sonli umumiy o'rta ta'lim maktabi,255,0.22,39.0
41.34175,69.20042,169 - sonli umumiy o'rta ta'lim maktabi,375,3.28,41.6
41.30315,69.20710,180 - sonli ixtisoslashtirilgan davlat u,149,-1.47,38.3
41.31376,69.20330,186 - sonli umumiy o'rta ta'lim maktabi,450,-0.06,38.1
41.32648,69.19909,192 - sonli umumiy o'rta ta'lim maktabi,316,1.59,40.1
41.30290,69.21689,254 - sonli umumiy o'rta ta'lim maktabi,531,-1.48,36.6
41.33317,69.16836,262 - sonli umumiy o'rta ta'lim maktabi,426,1.43,39.6
41.33796,69.17050,276 - sonli ixtisoslashtirilgan davlat u,509,1.47,39.5
41.33953,69.17911,299 - sonli umumiy o'rta ta'lim maktabi,1061,1.61,39.5
41.34575,69.17551,314 - sonli umumiy o'rta ta'lim maktabi,314,1.43,40.0
41.34261,69.16906,316 - sonli umumiy o'rta ta'lim maktabi,362,1.42,39.8
41.33977,69.18095,320-sonli umumiy o'rta ta'lim maktabi,1065,1.66,39.6
41.31782,69.23437,324-sonli umumiy o'rta ta'lim maktabi,191,-0.91,38.4
41.32359,69.25658,"254,Tashkent,Shaykhontohur",76,0.61,41.5
41.31988,69.27702,5-sonli umumiy o‘rta ta`lim maktabi,217,0.65,39.7
41.33020,69.27841,9-sonli ixtisoslashtirilgan davlat umumt,366,1.73,40.1
41.36960,69.29950,12-sonli umumiy o'rta ta'lim maktabi,471,2.17,40.3
41.31843,69.28861,17-sonli ixtisoslashtirilgan davlat umum,212,0.46,39.6
41.32581,69.28802,43-sonli umumiy o`rta ta`lim maktabi,417,0.99,39.2
41.32925,69.28806,51-sonli ixtisoslashtirilgan davlat umum,361,1.26,39.6
41.35910,69.28360,53-sonli umumiy o`rta ta`lim maktabi,304,3.54,42.1
41.35488,69.30171,58-sonli umumiy o'rta ta'lim maktabi,520,1.79,39.8
41.35240,69.28613,63-sonli umumiy o`rta ta`lim maktabi,147,3.04,42.8
41.33588,69.28568,70-sonli umumiy o`rta ta`lim maktabi,56,1.94,43.3
41.38084,69.27350,72-sonli umumiy o‘rta ta'lim maktabi,750,4.12,42.1
41.32478,69.27888,80-sonli umumiy o`rta ta`lim maktabi,272,1.12,39.8
41.37023,69.26850,86-sonli umumiy o`rta ta`lim maktabi,1383,5.32,43.2
41.34842,69.27417,96-sonli umumiy o`rta ta`lim maktabi,796,4.3,42.2
41.37919,69.30496,97-sonli umumiy o`rta ta`lim maktabi,557,1.91,39.9
