priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
112,215-sonli umumiy o'rta ta'lim maktabi,41.24528,69.33151,381,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.9,216.1,0.534,154,no,no
113,128-sonli umumiy o'rta ta'lim maktabi,41.29915,69.22779,206,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,0.99,182.4,0.534,67,no,no
114,26-sonli umumiy o'rta ta'lim maktabi,41.41646,69.31069,126,pre-1992 (Soviet-era),0.8,32.0,49.9,YES,6.4,1.1,230.6,0.534,40,no,no
115,151-sonli umumiy o'rta ta'lim maktabi,41.28110,69.34694,1148,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.87,223.5,0.533,278,no,no
116,132 - sonli umumiy o'rta ta'lim maktabi,41.33133,69.21413,174,pre-1992 (Soviet-era),0.8,31.6,49.3,YES,6.3,1.03,178.8,0.533,59,no,no
117,Gyote nomidagi 60-sonli nemis tilini chuqurlashtirib o‘rgatishga ixtisoslashtirilgan davlat  umumta’lim maktabi,41.29693,69.27769,152,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,1.07,184.7,0.533,54,no,no
118,232-sonli umumiy o'rta ta'lim maktabi,41.26167,69.21175,310,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,0.94,188.9,0.532,111,no,no
119,117-sonli umumiy o`rta ta`lim maktabi,41.35197,69.29836,856,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.87,198.3,0.532,321,no,no
120,85-sonli umumiy o'rta ta'lim maktabi,41.31318,69.22776,499,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.9,185.0,0.531,178,no,no
121,67-sonli umumiy o'rta ta'lim maktabi,41.27531,69.34497,1393,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.89,228.5,0.531,279,no,no
122,28-sonli umumiy o'rta ta'lim maktabi,41.40888,69.39683,4206,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.86,154.0,0.531,281,no,no
